=== METAHEURÍSTICA | SIZE: SMALL | LIMIT: 600s ===
-------------------------------------------------------------------------------------
Instancia              | Makespan   | Tiempo(s)  | LB       | GAP %
-------------------------------------------------------------------------------------
small_6x2_1            | 327.0      | 0.06       | 321.0    | 1.87    
small_6x2_2            | 272.0      | 0.07       | 266.0    | 2.26    
small_6x2_3            | 219.0      | 0.06       | 215.0    | 1.86    
small_6x2_4            | 211.0      | 0.06       | 204.0    | 3.43    
small_6x2_5            | 325.0      | 0.07       | 321.0    | 1.25    
small_6x3_1            | 218.0      | 0.10       | 190.0    | 14.74   
small_6x3_2            | 231.0      | 0.09       | 215.0    | 7.44    
small_6x3_3            | 157.0      | 0.09       | 148.0    | 6.08    
small_6x3_4            | 176.0      | 0.09       | 165.0    | 6.67    
small_6x3_5            | 152.0      | 0.09       | 131.0    | 16.03   
small_7x2_1            | 318.4      | 0.09       | 311.0    | 2.38    
small_7x2_2            | 280.0      | 0.08       | 273.0    | 2.56    
small_7x2_3            | 299.0      | 0.08       | 283.0    | 5.65    
small_7x2_4            | 276.0      | 0.10       | 260.0    | 6.15    
small_7x2_5            | 294.0      | 0.08       | 289.0    | 1.73    
small_7x3_1            | 214.0      | 0.11       | 206.0    | 3.88    
small_7x3_2            | 206.0      | 0.11       | 199.0    | 3.52    
small_7x3_3            | 253.4      | 0.14       | 239.0    | 6.03    
small_7x3_4            | 239.0      | 0.14       | 223.0    | 7.17    
small_7x3_5            | 219.8      | 0.13       | 205.0    | 7.22    
small_8x2_1            | 375.0      | 0.12       | 358.0    | 4.75    
small_8x2_2            | 285.0      | 0.09       | 278.0    | 2.52    
small_8x2_3            | 284.0      | 0.09       | 274.0    | 3.65    
small_8x2_4            | 375.0      | 0.09       | 367.0    | 2.18    
small_8x2_5            | 281.0      | 0.10       | 274.0    | 2.55    
small_8x3_1            | 295.0      | 0.14       | 286.0    | 3.15    
small_8x3_2            | 216.8      | 0.16       | 196.0    | 10.61   
small_8x3_3            | 299.0      | 0.20       | 283.0    | 5.65    
small_8x3_4            | 274.0      | 0.21       | 256.0    | 7.03    
small_8x3_5            | 239.0      | 0.14       | 230.0    | 3.91    
small_9x2_1            | 351.0      | 0.11       | 345.0    | 1.74    
small_9x2_2            | 401.0      | 0.12       | 392.0    | 2.30    
small_9x2_3            | 319.0      | 0.14       | 309.0    | 3.24    
small_9x2_4            | 354.0      | 0.11       | 339.0    | 4.42    
small_9x2_5            | 341.0      | 0.12       | 332.0    | 2.71    
small_9x3_1            | 279.0      | 0.21       | 260.0    | 7.31    
small_9x3_2            | 263.8      | 0.23       | 245.0    | 7.67    
small_9x3_3            | 242.4      | 0.20       | 227.0    | 6.78    
small_9x3_4            | 312.0      | 0.23       | 288.0    | 8.33    
small_9x3_5            | 234.0      | 0.20       | 222.0    | 5.41    
small_10x2_1           | 367.0      | 0.13       | 358.0    | 2.51    
small_10x2_2           | 438.0      | 0.13       | 431.0    | 1.62    
small_10x2_3           | 466.2      | 0.19       | 460.0    | 1.35    
small_10x2_4           | 502.0      | 0.18       | 494.0    | 1.62    
small_10x2_5           | 311.0      | 0.17       | 302.0    | 2.98    
small_10x3_1           | 354.8      | 0.23       | 346.0    | 2.54    
small_10x3_2           | 337.0      | 0.26       | 311.0    | 8.36    
small_10x3_3           | 267.0      | 0.20       | 254.0    | 5.12    
small_10x3_4           | 352.6      | 0.26       | 340.0    | 3.71    
small_10x3_5           | 269.4      | 0.39       | 255.0    | 5.65    
small_11x2_1           | 512.0      | 0.34       | 502.0    | 1.99    
small_11x2_2           | 457.0      | 0.20       | 447.0    | 2.24    
small_11x2_3           | 566.0      | 0.22       | 556.0    | 1.80    
small_11x2_4           | 513.0      | 0.30       | 502.0    | 2.19    
small_11x2_5           | 438.2      | 0.25       | 427.0    | 2.62    
small_11x3_1           | 303.0      | 0.41       | 293.0    | 3.41    
small_11x3_2           | 237.0      | 0.37       | 231.0    | 2.60    
small_11x3_3           | 312.2      | 0.34       | 294.0    | 6.19    
small_11x3_4           | 361.0      | 0.24       | 348.0    | 3.74    
small_11x3_5           | 363.0      | 0.30       | 356.0    | 1.97    
small_12x2_1           | 536.4      | 0.20       | 525.0    | 2.17    
small_12x2_2           | 425.0      | 0.19       | 416.0    | 2.16    
small_12x2_3           | 591.0      | 0.18       | 580.0    | 1.90    
small_12x2_4           | 550.6      | 0.24       | 543.0    | 1.40    
small_12x2_5           | 363.2      | 0.24       | 351.0    | 3.48    
small_12x3_1           | 334.0      | 0.29       | 323.0    | 3.41    
small_12x3_2           | 242.0      | 0.28       | 229.0    | 5.68    
small_12x3_3           | 426.0      | 0.45       | 413.0    | 3.15    
small_12x3_4           | 371.8      | 0.37       | 358.0    | 3.85    
small_12x3_5           | 301.0      | 0.32       | 290.0    | 3.79    
